"x"
"1"	"CHAPTER I."
"92"	"the 1st of February, 1830, two boy babes were born in his house: one to"
"93"	"him, the other to one of his slave girls, Roxana by name. Roxana was"
"94"	"twenty years old. She was up and around the same day, with her hands"
"95"	"full, for she was tending both babies."
"96"	"Mrs. Percy Driscoll died within the week. Roxy remained in charge of the"
"97"	"children. She had her own way, for Mr. Driscoll soon absorbed himself in"
"98"	"his speculations and left her to her own devices."
"99"	"In that same month of February, Dawson's Landing gained a new citizen."
"100"	"This was Mr. David Wilson, a young fellow of Scotch parentage. He had"
"101"	"wandered to this remote region from his birthplace in the interior of"
"102"	"the State of New York, to seek his fortune. He was twenty-five years"
"103"	"old, college-bred, and had finished a post-college course in an Eastern"
"104"	"law school a couple of years before."
"105"	"He was a homely, freckled, sandy-haired young fellow, with an"
"106"	"intelligent blue eye that had frankness and comradeship in it and a"
"107"	"covert twinkle of a pleasant sort. But for an unfortunate remark of his,"
"108"	"he would no doubt have entered at once upon a successful career at"
"109"	"Dawson's Landing. But he made his fatal remark the first day he spent in"
"110"	"the village, and it \"gaged\" him. He had just made the acquaintance of a"
"111"	"group of citizens when an invisible dog began to yelp and snarl and howl"
"112"	"and make himself very comprehensively disagreeable, whereupon young"
"113"	"Wilson said, much as one who is thinking aloud--"
"114"	"\"I wish I owned half of that dog.\""
"115"	"\"Why?\" somebody asked."
"116"	"\"Because I would kill my half.\""
"117"	"The group searched his face with curiosity, with anxiety even, but found"
"118"	"no light there, no expression that they could read. They fell away from"
"119"	"him as from something uncanny, and went into privacy to discuss him. One"
"120"	"said:"
"121"	"\"'Pears to be a fool.\""
"122"	"\"'Pears?\" said another. \"Is, I reckon you better say.\""
"123"	"\"Said he wished he owned half of the dog, the idiot,\" said a third."
"124"	"\"What did he reckon would become of the other half if he killed his"
"125"	"half? Do you reckon he thought it would live?\""
"126"	"\"Why, he must have thought it, unless he is the downrightest fool in the"
"127"	"world; because if he hadn't thought it, he would have wanted to own the"
"128"	"whole dog, knowing that if he killed his half and the other half died,"
"129"	"he would be responsible for that half just the same as if he had killed"
"130"	"that half instead of his own. Don't it look that way to you, gents?\""
"131"	"\"Yes, it does. If he owned one half of the general dog, it would be so;"
"132"	"if he owned one end of the dog and another person owned the other end,"
"133"	"it would be so, just the same; particularly in the first case, because"
"134"	"if you kill one half of a general dog, there ain't any man that can tell"
"135"	"whose half it was, but if he owned one end of the dog, maybe he could"
"136"	"kill his end of it and--\""
"137"	"\"No, he couldn't either; he couldn't and not be responsible if the other"
"138"	"end died, which it would. In my opinion that man ain't in his right"
"139"	"mind.\""
"140"	"\"In my opinion he hain't got any mind.\""
"141"	"No. 3 said: \"Well, he's a lummox, anyway.\""
"142"	"\"That's what he is,\" said No. 4, \"he's a labrick--just a Simon-pure"
"143"	"labrick, if ever there was one.\""
"144"	"\"Yes, sir, he's a dam fool, that's the way I put him up,\" said No. 5."
"145"	"\"Anybody can think different that wants to, but those are my"
"146"	"sentiments.\""
"147"	"\"I'm with you, gentlemen,\" said No. 6. \"Perfect jackass--yes, and it"
"148"	"ain't going too far to say he is a pudd'nhead. If he ain't a pudd'nhead,"
"149"	"I ain't no judge, that's all.\""
"150"	"Mr. Wilson stood elected. The incident was told all over the town, and"
"151"	"gravely discussed by everybody. Within a week he had lost his first"
"152"	"name; Pudd'nhead took its place. In time he came to be liked, and well"
"153"	"liked too; but by that time the nickname had got well stuck on, and it"
"154"	"stayed. That first day's verdict made him a fool, and he was not able to"
"155"	"get it set aside, or even modified. The nickname soon ceased to carry"
"156"	"any harsh or unfriendly feeling with it, but it held its place, and was"
"157"	"to continue to hold its place for twenty long years."
"158"	"CHAPTER II."
