"x"
"1"	"CHAPTER VIII."
"67"	"of applause; and she was obliged to confess to herself that if there was"
"68"	"anything better in this world than steamboating, it was the glory to be"
"69"	"got by telling about it. The audience loaded her stomach with their"
"70"	"dinners, and then stole the pantry bare to load up her basket."
"71"	"Tom was in St. Louis. The servants said he had spent the best part of"
"72"	"his time there during the previous two years. Roxy came every day, and"
"73"	"had many talks about the family and its affairs. Once she asked why Tom"
"74"	"was away so much. The ostensible \"Chambers\" said:"
"75"	"\"De fac' is, ole marster kin git along better when young marster's away"
"76"	"den he kin when he's in de town; yes, en he love him better, too; so he"
"77"	"gives him fifty dollahs a month--\""
"78"	"\"No, is dat so? Chambers, you's a-jokin', ain't you?\""
"79"	"\"'Clah to goodness I ain't, mammy; Marse Tom tole me so his own self."
"80"	"But nemmine, 'tain't enough.\""
"81"	"\"My lan', what de reason 'tain't enough?\""
"82"	"\"Well, I's gwine to tell you, if you gimme a chanst, mammy. De reason it"
"83"	"ain't enough is 'ca'se Marse Tom gambles.\""
"84"	"Roxy threw up her hands in astonishment and Chambers went on--"
"85"	"\"Ole marster found it out, 'ca'se he had to pay two hundred dollahs for"
"86"	"Marse Tom's gamblin' debts, en dat's true, mammy, jes as dead certain as"
"87"	"you's bawn.\""
"88"	"\"Two--hund'd--dollahs! Why, what is you talkin' 'bout? "
"89"	"Two--hund'd--dollahs. Sakes alive, it's 'mos' enough to buy a tol'able"
"90"	"good second-hand nigger wid. En you ain't lyin', honey?--you wouldn't"
"91"	"lie to yo' ole mammy?\""
"92"	"\"It's God's own truth, jes as I tell you--two hund'd dollahs--I wisht I"
"93"	"may never stir outen my tracks if it ain't so. En, oh, my lan', ole"
"94"	"Marse was jes a-hoppin'! he was b'ilin' mad, I tell you! He tuck 'n'"
"95"	"dissenhurrit him.\""
"96"	"He licked his chops with relish after that stately word. Roxy struggled"
"97"	"with it a moment, then gave it up and said--"
"98"	"\"Dissenwhiched him?\""
"99"	"\"Dissenhurrit him.\""
"100"	"\"What's dat? What do it mean?\""
"101"	"\"Means he bu'sted de will.\""
"102"	"\"Bu's--ted de will! He wouldn't ever treat him so! Take it back, you"
"103"	"mis'able imitation nigger dat I bore in sorrow en tribbilation.\""
"104"	"Roxy's pet castle--an occasional dollar from Tom's pocket--was tumbling"
"105"	"to ruin before her eyes. She could not abide such a disaster as that;"
"106"	"she couldn't endure the thought of it. Her remark amused Chambers:"
"107"	"\"Yah-yah-yah! jes listen to dat! If I's imitation, what is you? Bofe of"
"108"	"us is imitation white--dat's what we is--en pow'ful good imitation,"
"109"	"too--yah-yah-yah!--we don't 'mount to noth'n as imitation niggers; en as"
"110"	"for--\""
"111"	"\"Shet up yo' foolin', 'fo' I knock you side de head, en tell me 'bout de"
"112"	"will. Tell me 'tain't bu'sted--do, honey, en I'll never forgit you.\""
"113"	"\"Well, 'tain't--'ca'se dey's a new one made, en Marse Tom's all right"
"114"	"ag'in. But what is you in sich a sweat 'bout it for, mammy? 'Tain't none"
"115"	"o' your business I don't reckon.\""
"116"	"\"'Tain't none o' my business? Whose business is it den, I'd like to"
"117"	"know? Wuz I his mother tell he was fifteen years old, or wusn't I?--you"
"118"	"answer me dat. En you speck I could see him turned out po' en ornery on"
"119"	"de worl' en never care noth'n' 'bout it? I reckon if you'd ever be'n a"
"120"	"mother yo'self, Valet de Chambers, you wouldn't talk sich foolishness as"
"121"	"dat.\""
"122"	"\"Well, den, ole Marse forgive him en fixed up de will ag'in--do dat"
"123"	"satisfy you?\""
"124"	"Yes, she was satisfied now, and quite happy and sentimental over it. She"
"125"	"kept coming daily, and at last she was told that Tom had come home. She"
"126"	"began to tremble with emotion, and straightway sent to beg him to let"
"127"	"his \"po' ole nigger mammy have jes one sight of him en die for joy.\""
"128"	"Tom was stretched at his lazy ease on a sofa when Chambers brought the"
"129"	"petition. Time had not modified his ancient detestation of the humble"
"130"	"drudge and protector of his boyhood; it was still bitter and"
"131"	"uncompromising. He sat up and bent a severe gaze upon the fair face of"
"132"	"the young fellow whose name he was unconsciously using and whose family"
"133"	"rights he was enjoying. He maintained the gaze until the victim of it"
"134"	"had become satisfactorily pallid with terror, then he said--"
"135"	"\"What does the old rip want with me?\""
"136"	"The petition was meekly repeated."
"137"	"\"Who gave you permission to come and disturb me with the social"
"138"	"attentions of niggers?\""
"139"	"Tom had risen. The other young man was trembling now, visibly. He saw"
"140"	"what was coming, and bent his head sideways, and put up his left arm to"
"141"	"shield it. Tom rained cuffs upon the head and its shield, saying no"
"142"	"word: the victim received each blow with a beseeching, \"Please, Marse"
"143"	"Tom!--oh, please, Marse Tom!\" Seven blows--then Tom said, \"Face the"
"144"	"door--march!\" He followed behind with one, two, three solid kicks. The"
"145"	"last one helped the pure-white slave over the door-sill, and he limped"
"146"	"away mopping his eyes with his old ragged sleeve. Tom shouted after him,"
"147"	"\"Send her in!\""
"148"	"Then he flung himself panting on the sofa again, and rasped out the"
"149"	"remark, \"He arrived just at the right moment; I was full to the brim"
"150"	"with bitter thinkings, and nobody to take it out of. How refreshing it"
"151"	"was! I feel better.\""
"152"	"Tom's mother entered now, closing the door behind her, and approached"
"153"	"her son with all the wheedling and supplicating servilities that fear"
"154"	"and interest can impart to the words and attitudes of the born slave."
"155"	"She stopped a yard from her boy and made two or three admiring"
"156"	"exclamations over his manly stature and general handsomeness, and Tom"
"157"	"put an arm under his head and hoisted a leg over the sofa-back in order"
"158"	"to look properly indifferent."
"159"	"\"My lan', how you is growed, honey! 'Clah to goodness, I wouldn't"
"160"	"a-knowed you, Marse Tom! 'deed I wouldn't! Look at me good; does you"
"161"	"'member old Roxy?--does you know yo' old nigger mammy, honey? Well, now,"
"162"	"I kin lay down en die in peace, 'ca'se I'se seed--\""
"163"	"\"Cut it short, ------ it, cut it short! What is it you want?\""
"164"	"\"You heah dat? Jes the same old Marse Tom, al'ays so gay and funnin' wid"
"165"	"de ole mammy. I 'uz jes as shore--\""
"166"	"\"Cut it short, I tell you, and get along! What do you want?\""
"167"	"This was a bitter disappointment. Roxy had for so many days nourished"
"168"	"and fondled and petted her notion that Tom would be glad to see his old"
"169"	"nurse, and would make her proud and happy to the marrow with a cordial"
"170"	"word or two, that it took two rebuffs to convince her that he was not"
"171"	"funning, and that her beautiful dream was a fond and foolish vanity, a"
"172"	"shabby and pitiful mistake. She was hurt to the heart, and so ashamed"
"173"	"that for a moment she did not quite know what to do or how to act. Then"
"174"	"her breast began to heave, the tears came, and in her forlornness she"
"175"	"was moved to try that other dream of hers--an appeal to her boy's"
"176"	"charity; and so, upon the impulse, and without reflection, she offered"
"177"	"her supplication:"
"178"	"\"Oh, Marse Tom, de po' ole mammy is in sich hard luck dese days; en"
"179"	"she's kinder crippled in de arms and can't work, en if you could gimme a"
"180"	"dollah--on'y jes one little dol--\""
"181"	"Tom was on his feet so suddenly that the supplicant was startled into a"
"182"	"jump herself."
"183"	"\"A dollar!--give you a dollar! I've a notion to strangle you! Is that"
"184"	"your errand here? Clear out! and be quick about it!\""
"185"	"Roxy backed slowly toward the door. When she was half-way she stopped,"
"186"	"and said mournfully:"
"187"	"\"Marse Tom, I nussed you when you was a little baby, en I raised you all"
"188"	"by myself tell you was 'most a young man; en now you is young en rich,"
"189"	"en I is po' en gitt'n ole, en I come heah b'lievin' dat you would he'p"
"190"	"de ole mammy 'long down de little road dat's lef' 'twix' her en de"
"191"	"grave, en--\""
"192"	"Tom relished this tune less than any that had preceded it, for it began"
"193"	"to wake up a sort of echo in his conscience; so he interrupted and said"
"194"	"with decision, though without asperity, that he was not in a situation"
"195"	"to help her, and wasn't going to do it."
"196"	"\"Ain't you ever gwine to he'p me, Marse Tom?\""
"197"	"\"No! Now go away and don't bother me any more.\""
"198"	"Roxy's head was down, in an attitude of humility. But now the fires of"
"199"	"her old wrongs flamed up in her breast and began to burn fiercely. She"
"200"	"raised her head slowly, till it was well up, and at the same time her"
"201"	"great frame unconsciously assumed an erect and masterful attitude, with"
"202"	"all the majesty and grace of her vanished youth in it. She raised her"
"203"	"finger and punctuated with it:"
"204"	"\"You has said de word. You has had yo' chance, en you has trompled it"
"205"	"under yo' foot. When you git another one, you'll git down on yo' knees"
"206"	"en beg for it!\""
"207"	"A cold chill went to Tom's heart, he didn't know why; for he did not"
"208"	"reflect that such words, from such an incongruous source, and so"
"209"	"solemnly delivered, could not easily fail of that effect. However, he"
"210"	"did the natural thing: he replied with bluster and mockery:"
"211"	"\"You'll give me a chance--you! Perhaps I'd better get down on my knees"
"212"	"now! But in case I don't--just for argument's sake--what's going to"
"213"	"happen, pray?\""
"214"	"\"Dis is what is gwine to happen. I's gwine as straight to yo' uncle as I"
"215"	"kin walk, en tell him every las' thing I knows 'bout you.\""
"216"	"Tom's cheek blenched, and she saw it. Disturbing thoughts began to chase"
"217"	"each other through his head. \"How can she know? And yet she must have"
"218"	"found out--she looks it. I've had the will back only three months, and"
"219"	"am already deep in debt again, and moving heaven and earth to save"
"220"	"myself from exposure and destruction, with a reasonably fair show of"
"221"	"getting the thing covered up if I'm let alone, and now this fiend has"
"222"	"gone and found me out somehow or other. I wonder how much she knows? Oh,"
"223"	"oh, oh, it's enough to break a body's heart! But I've got to humor"
"224"	"her--there's no other way.\""
"225"	"Then he worked up a rather sickly sample of a gay laugh and a hollow"
"226"	"chipperness of manner, and said:"
"227"	"\"Well, well, Roxy dear, old friends like you and me mustn't quarrel."
"228"	"Here's your dollar--now tell me what you know.\""
"229"	"He held out the wild-cat bill; she stood as she was, and made no"
"230"	"movement. It was her turn to scorn persuasive foolery, now, and she did"
"231"	"not waste it. She said, with a grim implacability in voice and manner"
"232"	"which made Tom almost realize that even a former slave can remember for"
"233"	"ten minutes insults and injuries returned for compliments and flatteries"
"234"	"received, and can also enjoy taking revenge for them when the"
"235"	"opportunity offers:"
"236"	"\"What does I know? I'll tell you what I knows. I knows enough to bu'st"
"237"	"dat will to flinders--en more, mind you, more!\""
"238"	"Tom was aghast."
"239"	"\"More?\" he said. \"What do you call more? Where's there any room for"
"240"	"more?\""
"241"	"Roxy laughed a mocking laugh, and said scoffingly, with a toss of her"
"242"	"head, and her hands on her hips--"
"243"	"\"Yes!--oh, I reckon! Co'se you'd like to know--wid yo' po' little ole"
"244"	"rag dollah. What you reckon I's gwine to tell you for?--you ain't got no"
"245"	"money. I's gwine to tell yo' uncle--en I'll do it dis minute, too--he'll"
"246"	"gimme five dollahs for de news, en mighty glad, too.\""
"247"	"She swung herself around disdainfully, and started away. Tom was in a"
"248"	"panic. He seized her skirts, and implored her to wait. She turned and"
"249"	"said, loftily--"
"250"	"\"Look-a-heah, what 'uz it I tole you?\""
"251"	"\"You--you--I don't remember anything. What was it you told me?\""
"252"	"\"I tole you dat de next time I give you a chance you'd git down on yo'"
"253"	"knees en beg for it.\""
"254"	"Tom was stupefied for a moment. He was panting with excitement. Then he"
"255"	"said:"
"256"	"\"Oh, Roxy, you wouldn't require your young master to do such a horrible"
"257"	"thing. You can't mean it.\""
"258"	"\"I'll let you know mighty quick whether I means it or not! You call me"
"259"	"names, en as good as spit on me when I comes here po' en ornery en"
"260"	"'umble, to praise you for bein' growed up so fine en handsome, en tell"
"261"	"you how I used to nuss you en tend you en watch you when you 'uz sick en"
"262"	"hadn't no mother but me in de whole worl', en beg you to give de po' ole"
"263"	"nigger a dollah for to git her som'n' to eat, en you call me"
"264"	"names--names, dad blame you! Yassir, I gives you jes one chance mo', and"
"265"	"dat's now, en it las' on'y a half a second--you hear?\""
"266"	"Tom slumped to his knees and began to beg, saying--"
"267"	"\"You see, I'm begging, and it's honest begging, too! Now tell me, Roxy,"
"268"	"tell me.\""
"269"	"The heir of two centuries of unatoned insult and outrage looked down on"
"270"	"him and seemed to drink in deep draughts of satisfaction. Then she"
"271"	"said--"
"272"	"\"Fine nice young white gen'l'man kneelin' down to a nigger-wench! I's"
"273"	"wanted to see dat jes once befo' I's called. Now, Gabr'el, blow de hawn,"
"274"	"I's ready ... Git up!\""
"275"	"Tom did it. He said, humbly--"
"276"	"\"Now, Roxy, don't punish me any more. I deserved what I've got, but be"
"277"	"good and let me off with that. Don't go to uncle. Tell me--I'll give you"
"278"	"the five dollars.\""
"279"	"\"Yes, I bet you will; en you won't stop dah, nuther. But I ain't gwine"
"280"	"to tell you heah--\""
"281"	"\"Good gracious, no!\""
"282"	"\"Is you 'feared o' de ha'nted house?\""
"283"	"\"N-no.\""
"284"	"\"Well, den, you come to de ha'nted house 'bout ten or 'leven to-night,"
"285"	"en climb up de ladder, 'ca'se de sta'r-steps is broke down, en you'll"
"286"	"find me. I's a-roostin' in de ha'nted house 'ca'se I can't 'ford to"
"287"	"roos' nowhers' else.\" She started toward the door, but stopped and said,"
"288"	"\"Gimme de dollah bill!\" He gave it to her. She examined it and said,"
"289"	"\"H'm--like enough de bank's bu'sted.\" She started again, but halted"
"290"	"again. \"Has you got any whisky?\""
"291"	"\"Yes, a little.\""
"292"	"\"Fetch it!\""
"293"	"He ran to his room overhead and brought down a bottle which was"
"294"	"two-thirds full. She tilted it up and took a drink. Her eyes sparkled"
"295"	"with satisfaction, and she tucked the bottle under her shawl, saying,"
"296"	"\"It's prime. I'll take it along.\""
"297"	"Tom humbly held the door for her, and she marched out as grim and erect"
"298"	"as a grenadier."
"299"	"CHAPTER IX."
