"x"
"1"	"CHAPTER III."
"67"	"seemed in a trance; when she came out of it she muttered, \"When I 'uz"
"68"	"a-washin' 'em in de tub, yistiddy, his own pappy asked me which of 'em"
"69"	"was his'n.\""
"70"	"She began to move about like one in a dream. She undressed Thomas à"
"71"	"Becket, stripping him of everything, and put the tow-linen shirt on him."
"72"	"She put his coral necklace on her own child's neck. Then she placed the"
"73"	"children side by side, and after earnest inspection she muttered--"
"74"	"\"Now who would b'lieve clo'es could do de like o' dat? Dog my cats if it"
"75"	"ain't all I kin do to tell t'other fum which, let alone his pappy.\""
"76"	"She put her cub in Tommy's elegant cradle and said--"
"77"	"\"You's young Marse Tom fum dis out, en I got to practise and git used to"
"78"	"'memberin' to call you dat, honey, or I's gwine to make a mistake some"
"79"	"time en git us bofe into trouble. Dah--now you lay still en don't fret"
"80"	"no mo', Marse Tom--oh, thank de good Lord in heaven, you's saved, you's"
"81"	"saved!--dey ain't no man kin ever sell mammy's po' little honey down de"
"82"	"river now!\""
"83"	"She put the heir of the house in her own child's unpainted pine cradle,"
"84"	"and said, contemplating its slumbering form uneasily--"
"85"	"\"I's sorry for you, honey; I's sorry, God knows I is,--but what kin I"
"86"	"do, what could I do? Yo' pappy would sell him to somebody, some time, en"
"87"	"den he'd go down de river, sho', en I couldn't, couldn't, couldn't stan'"
"88"	"it.\""
"89"	"She flung herself on her bed and began to think and toss, toss and"
"90"	"think. By and by she sat suddenly upright, for a comforting thought had"
"91"	"flown through her worried mind--"
"92"	"\"'Tain't no sin--white folks has done it! It ain't no sin, glory to"
"93"	"goodness it ain't no sin! Dey's done it--yes, en dey was de biggest"
"94"	"quality in de whole bilin', too--kings!\""
"95"	"She began to muse; she was trying to gather out of her memory the dim"
"96"	"particulars of some tale she had heard some time or other. At last she"
"97"	"said--"
"98"	"\"Now I's got it; now I 'member. It was dat ole nigger preacher dat tole"
"99"	"it, de time he come over here fum Illinois en preached in de nigger"
"100"	"church. He said dey ain't nobody kin save his own self--can't do it by"
"101"	"faith, can't do it by works, can't do it no way at all. Free grace is de"
"102"	"on'y way, en dat don't come fum nobody but jis' de Lord; en he kin give"
"103"	"it to anybody he please, saint or sinner--he don't kyer. He do jis' as"
"104"	"he's a mineter. He s'lect out anybody dat suit him, en put another one"
"105"	"in his place, and make de fust one happy forever en leave t'other one to"
"106"	"burn wid Satan. De preacher said it was jist like dey done in Englan'"
"107"	"one time, long time ago. De queen she lef' her baby layin' aroun' one"
"108"	"day, en went out callin'; en one o' de niggers roun'-'bout de place dat"
"109"	"was 'mos' white, she come in en see de chile layin' aroun', en tuck en"
"110"	"put her own chile's clo'es on de queen's chile, en put de queen's"
"111"	"chile's clo'es on her own chile, en den lef' her own chile layin' aroun'"
"112"	"en tuck en toted de queen's chile home to de nigger-quarter, en nobody"
"113"	"ever foun' it out, en her chile was de king bimeby, en sole de queen's"
"114"	"chile down de river one time when dey had to settle up de estate. Dah,"
"115"	"now--de preacher said it his own self, en it ain't no sin, 'ca'se white"
"116"	"folks done it. Dey done it--yes, dey done it; en not on'y jis' common"
"117"	"white folks nuther, but de biggest quality dey is in de whole bilin'."
"118"	"Oh, I's so glad I 'member 'bout dat!\""
"119"	"She got up light-hearted and happy, and went to the cradles and spent"
"120"	"what was left of the night \"practising.\" She would give her own child a"
"121"	"light pat and say humbly, \"Lay still, Marse Tom,\" then give the real Tom"
"122"	"a pat and say with severity, \"Lay still, Chambers!--does you want me to"
"123"	"take somep'n' to you?\""
"124"	"As she progressed with her practice, she was surprised to see how"
"125"	"steadily and surely the awe which had kept her tongue reverent and her"
"126"	"manner humble toward her young master was transferring itself to her"
"127"	"speech and manner toward the usurper, and how similarly handy she was"
"128"	"becoming in transferring her motherly curtness of speech and"
"129"	"peremptoriness of manner to the unlucky heir of the ancient house of"
"130"	"Driscoll."
"131"	"She took occasional rests from practising, and absorbed herself in"
"132"	"calculating her chances."
"133"	"\"Dey'll sell dese niggers to-day fo' stealin' de money, den dey'll buy"
"134"	"some mo' dat don't know de chillen--so dat's all right. When I takes de"
"135"	"chillen out to git de air, de minute I's roun' de corner I's gwine to"
"136"	"gaum dey mouths all roun' wid jam, den dey can't nobody notice dey's"
"137"	"changed. Yes, I gwineter do dat till I's safe, if it's a year."
"138"	"\"Dey ain't but one man dat I's afeard of, en dat's dat Pudd'nhead"
"139"	"Wilson. Dey calls him a pudd'nhead, en says he's a fool. My lan', dat"
"140"	"man ain't no mo' fool den I is! He's de smartes' man in dis town, less'n"
"141"	"it's Jedge Driscoll or maybe Pem Howard. Blame dat man, he worries me"
"142"	"wid dem ornery glasses o' hisn; I b'lieve he's a witch. But nemmine, I's"
"143"	"gwine to happen aroun' dah one o' dese days en let on dat I reckon he"
"144"	"wants to print de chillen's fingers ag'in; en if he don't notice dey's"
"145"	"changed, I bound dey ain't nobody gwine to notice it, en den I's safe,"
"146"	"sho'. But I reckon I'll tote along a hoss-shoe to keep off de"
"147"	"witch-work.\""
"148"	"The new negroes gave Roxy no trouble, of course. The master gave her"
"149"	"none, for one of his speculations was in jeopardy, and his mind was so"
"150"	"occupied that he hardly saw the children when he looked at them, and all"
"151"	"Roxy had to do was to get them both into a gale of laughter when he came"
"152"	"about; then their faces were mainly cavities exposing gums, and he was"
"153"	"gone again before the spasm passed and the little creatures resumed a"
"154"	"human aspect."
"155"	"Within a few days the fate of the speculation became so dubious that Mr."
"156"	"Percy went away with his brother the Judge, to see what could be done"
"157"	"with it. It was a land speculation as usual, and it had gotten"
"158"	"complicated with a lawsuit. The men were gone seven weeks. Before they"
"159"	"got back Roxy had paid her visit to Wilson, and was satisfied. Wilson"
"160"	"took the finger-prints, labeled them with the names and with the"
"161"	"date--October the first--put them carefully away and continued his chat"
"162"	"with Roxy, who seemed very anxious that he should admire the great"
"163"	"advance in flesh and beauty which the babies had made since he took"
"164"	"their finger-prints a month before. He complimented their improvement to"
"165"	"her contentment; and as they were without any disguise of jam or other"
"166"	"stain, she trembled all the while and was miserably frightened lest at"
"167"	"any moment he--"
"168"	"But he didn't. He discovered nothing; and she went home jubilant, and"
"169"	"dropped all concern about the matter permanently out of her mind."
"170"	"CHAPTER IV."
