"x"
"1"	"CHAPTER XVIII."
"136"	"sprawled aroun' asleep on de fo'cas'l', de second mate, Jim Bangs, he"
"137"	"sot dah on de bitts wid his head down, asleep--'ca'se dat's de way de"
"138"	"second mate stan' de cap'n's watch!--en de ole watchman, Billy Hatch, he"
"139"	"'uz a-noddin' on de companionway;--en I knowed 'em all; 'en, lan', but"
"140"	"dey did look good! I says to myself, I wished old marster'd come along"
"141"	"now en try to take me--bless yo' heart, I's 'mong frien's, I is. So I"
"142"	"tromped right along 'mongst 'em, en went up on de b'iler deck en 'way"
"143"	"back aft to de ladies' cabin guard, en sot down dah in de same cheer dat"
"144"	"I'd sot in 'mos' a hund'd million times, I reckon; en it 'uz jist home"
"145"	"ag'in, I tell you!"
"146"	"\"In 'bout an hour I heard de ready-bell jingle, en den de racket begin."
"147"	"Putty soon I hear de gong strike. 'Set her back on de outside,' I says"
"148"	"to myself--'I reckon I knows dat music!' I hear de gong ag'in. 'Come"
"149"	"ahead on de inside,' I says. Gong ag'in. 'Stop de outside.' Gong ag'in."
"150"	"'Come ahead on de outside--now we's pinted for Sent Louis, en I's outer"
"151"	"de woods en ain't got to drown myself at all.' I knowed de Mogul 'uz in"
"152"	"de Sent Louis trade now, you see. It 'uz jes fair daylight when we"
"153"	"passed our plantation, en I seed a gang o' niggers en white folks"
"154"	"huntin' up en down de sho', en troublin' deyselves a good deal 'bout me;"
"155"	"but I warn't troublin' myself none 'bout dem."
"156"	"\"'Bout dat time Sally Jackson, dat used to be my second chambermaid en"
"157"	"'uz head chambermaid now, she come out on de guard, en 'uz pow'ful glad"
"158"	"to see me, en so 'uz all de officers; en I tole 'em I'd got kidnapped en"
"159"	"sole down de river, en dey made me up twenty dollahs en give it to me,"
"160"	"en Sally she rigged me out wid good clo'es, en when I got here I went"
"161"	"straight to whah you used to wuz, en den I come to dis house, en dey say"
"162"	"you's away but 'spected back every day; so I didn't dast to go down de"
"163"	"river to Dawson's, 'ca'se I might miss you."
"164"	"\"Well, las' Monday I 'uz pass'n' by one o' dem places in Fourth street"
"165"	"whah deh sticks up runaway-nigger bills, en he'ps to ketch 'em, en I"
"166"	"seed my marster! I 'mos' flopped down on de groun', I felt so gone. He"
"167"	"had his back to me, en 'uz talkin' to de man en givin' him some"
"168"	"bills--nigger-bills, I reckon, en I'se de nigger. He's offerin' a"
"169"	"reward--dat's it. Ain't I right, don't you reckon?\""
"170"	"Tom had been gradually sinking into a state of ghastly terror, and he"
"171"	"said to himself, now: \"I'm lost, no matter what turn things take! This"
"172"	"man has said to me that he thinks there was something suspicious about"
"173"	"that sale. He said he had a letter from a passenger on the Grand Mogul"
"174"	"saying that Roxy came here on that boat and that everybody on board knew"
"175"	"all about the case; so he says that her coming here instead of flying to"
"176"	"a free State looks bad for me, and that if I don't find her for him, and"
"177"	"that pretty soon, he will make trouble for me. I never believed that"
"178"	"story; I couldn't believe she would be so dead to all motherly instincts"
"179"	"as to come here, knowing the risk she would run of getting me into"
"180"	"irremediable trouble. And after all, here she is! And I stupidly swore I"
"181"	"would help him find her, thinking it was a perfectly safe thing to"
"182"	"promise. If I venture to deliver her up, she--she--but how can I help"
"183"	"myself? I've got to do that or pay the money, and where's the money to"
"184"	"come from? I--I--well, I should think that if he would swear to treat"
"185"	"her kindly hereafter--and she says, herself, that he is a good man--and"
"186"	"if he would swear to never allow her to be overworked, or ill fed, or--\""
"187"	"A flash of lightning exposed Tom's pallid face, drawn and rigid with"
"188"	"these worrying thoughts. Roxana spoke up sharply now, and there was"
"189"	"apprehension in her voice--"
"190"	"\"Turn up dat light! I want to see yo' face better. Dah now--lemme look"
"191"	"at you. Chambers, you's as white as yo' shirt! Has you see dat man? Has"
"192"	"he be'n to see you?\""
"193"	"\"Ye-s.\""
"194"	"\"When?\""
"195"	"\"Monday noon.\""
"196"	"\"Monday noon! Was he on my track?\""
"197"	"\"He--well, he thought he was. That is, he hoped he was. This is the bill"
"198"	"you saw.\" He took it out of his pocket."
"199"	"\"Read it to me!\""
"200"	"She was panting with excitement, and there was a dusky glow in her eyes"
"201"	"that Tom could not translate with certainty, but there seemed to be"
"202"	"something threatening about it. The handbill had the usual rude woodcut"
"203"	"of a turbaned negro woman running, with the customary bundle on a stick"
"204"	"over her shoulder, and the heading in bold type, \"$100 Reward.\" Tom read"
"205"	"the bill aloud--at least the part that described Roxana and named the"
"206"	"master and his St. Louis address and the address of the Fourth-street"
"207"	"agency; but he left out the item that applicants for the reward might"
"208"	"also apply to Mr. Thomas Driscoll."
"209"	"\"Gimme de bill!\""
"210"	"Tom had folded it and was putting it in his pocket. He felt a chilly"
"211"	"streak creeping down his back, but said as carelessly as he could--"
"212"	"\"The bill? Why, it isn't any use to you, you can't read it. What do you"
"213"	"want with it?\""
"214"	"\"Gimme de bill!\" Tom gave it to her, but with a reluctance which he"
"215"	"could not entirely disguise. \"Did you read it all to me?\""
"216"	"\"Certainly I did.\""
"217"	"\"Hole up yo' han' en swah to it.\""
"218"	"Tom did it. Roxana put the bill carefully away in her pocket, with her"
"219"	"eyes fixed upon Tom's face all the while; then she said--"
"220"	"\"Yo's lyin'!\""
"221"	"\"What would I want to lie about it for?\""
"222"	"\"I don't know--but you is. Dat's my opinion, anyways. But nemmine 'bout"
"223"	"dat. When I seed dat man I 'uz dat sk'yerd dat I could sca'cely wobble"
"224"	"home. Den I give a nigger man a dollar for dese clo'es, en I ain't be'n"
"225"	"in a house sence, night ner day, till now. I blacked my face en laid hid"
"226"	"in de cellar of a ole house dat's burnt down, daytimes, en robbed de"
"227"	"sugar hogsheads en grain sacks on de wharf, nights, to git somethin' to"
"228"	"eat, en never dast to try to buy noth'n', en I's 'mos' starved. En I"
"229"	"never dast to come near dis place till dis rainy night, when dey ain't"
"230"	"no people roun' sca'cely. But to-night I be'n a-stannin' in de dark"
"231"	"alley ever sence night come, waitin' for you to go by. En here I is.\""
"232"	"She fell to thinking. Presently she said--"
"233"	"\"You seed dat man at noon, las' Monday?\""
"234"	"\"Yes.\""
"235"	"\"I seed him de middle o' dat arternoon. He hunted you up, didn't he?\""
"236"	"\"Yes.\""
"237"	"\"Did he give you de bill dat time?\""
"238"	"\"No, he hadn't got it printed yet.\""
"239"	"Roxana darted a suspicious glance at him."
"240"	"\"Did you he'p him fix up de bill?\""
"241"	"Tom cursed himself for making that stupid blunder, and tried to rectify"
"242"	"it by saying he remembered, now, that it was at noon Monday that the man"
"243"	"gave him the bill. Roxana said--"
"244"	"\"You's lyin' ag'in, sho.\" Then she straightened up and raised her"
"245"	"finger:"
"246"	"\"Now den! I's gwine to ask you a question, en I wants to know how you's"
"247"	"gwine to git aroun' it. You knowed he 'uz arter me; en if you run off,"
"248"	"'stid o' stayin' here to he'p him, he'd know dey 'uz somethin' wrong"
"249"	"'bout dis business, en den he would inquire 'bout you, en dat would take"
"250"	"him to yo' uncle, en yo' uncle would read de bill en see dat you be'n"
"251"	"sellin' a free nigger down de river, en you know him, I reckon! He'd"
"252"	"t'ar up de will en kick you outen de house. Now, den, you answer me dis"
"253"	"question: hain't you tole dat man dat I would be sho' to come here, en"
"254"	"den you would fix it so he could set a trap en ketch me?\""
"255"	"Tom recognized that neither lies nor arguments could help him any"
"256"	"longer--he was in a vise, with the screw turned on, and out of it there"
"257"	"was no budging. His face began to take on an ugly look, and presently he"
"258"	"said, with a snarl--"
"259"	"\"Well, what could I do? You see, yourself, that I was in his grip and"
"260"	"couldn't get out.\""
"261"	"Roxy scorched him with a scornful gaze awhile, then she said--"
"262"	"\"What could you do? You could be Judas to yo' own mother to save yo'"
"263"	"wuthless hide! Would anybody b'lieve it? No--a dog couldn't! You is de"
"264"	"low-downest orneriest hound dat was ever pup'd into dis worl'--en I's"
"265"	"'sponsible for it!\"--and she spat on him."
"266"	"He made no effort to resent this. Roxy reflected a moment, then she"
"267"	"said--"
"268"	"\"Now I'll tell you what you's gwine to do. You's gwine to give dat man"
"269"	"de money dat you's got laid up, en make him wait till you kin go to de"
"270"	"Judge en git de res' en buy me free agin.\""
"271"	"\"Thunder! what are you thinking of? Go and ask him for three hundred"
"272"	"dollars and odd? What would I tell him I want with it, pray?\""
"273"	"Roxy's answer was delivered in a serene and level voice--"
"274"	"\"You'll tell him you's sole me to pay yo' gamblin' debts en dat you lied"
"275"	"to me en was a villain, en dat I 'quires you to git dat money en buy me"
"276"	"back ag'in.\""
"277"	"\"Why, you've gone stark mad! He would tear the will to shreds in a"
"278"	"minute--don't you know that?\""
"279"	"\"Yes, I does.\""
"280"	"\"Then you don't believe I'm idiot enough to go to him, do you?\""
"281"	"\"I don't b'lieve nothin' 'bout it--I knows you's a-goin'. I knows it"
"282"	"'ca'se you knows dat if you don't raise dat money I'll go to him myself,"
"283"	"en den he'll sell you down de river, en you kin see how you like it!\""
"284"	"Tom rose, trembling and excited, and there was an evil light in his eye."
"285"	"He strode to the door and said he must get out of this suffocating place"
"286"	"for a moment and clear his brain in the fresh air so that he could"
"287"	"determine what to do. The door wouldn't open. Roxy smiled grimly, and"
"288"	"said--"
"289"	"\"I's got de key, honey--set down. You needn't cle'r up yo' brain none to"
"290"	"fine out what you gwine to do--I knows what you's gwine to do.\" Tom sat"
"291"	"down and began to pass his hands through his hair with a helpless and"
"292"	"desperate air. Roxy said, \"Is dat man in dis house?\""
"293"	"Tom glanced up with a surprised expression, and asked--"
"294"	"\"What gave you such an idea?\""
"295"	"\"You done it. Gwine out to cle'r yo' brain! In de fust place you ain't"
"296"	"got none to cle'r, en in de second place yo' ornery eye tole on you."
"297"	"You's de low-downest hound dat ever--but I done tole you dat befo'. Now"
"298"	"den, dis is Friday. You kin fix it up wid dat man, en tell him you's"
"299"	"gwine away to git de res' o' de money, en dat you'll be back wid it nex'"
"300"	"Tuesday, or maybe Wednesday. You understan'?\""
"301"	"Tom answered sullenly--"
"302"	"\"Yes.\""
"303"	"\"En when you gits de new bill o' sale dat sells me to my own self, take"
"304"	"en send it in de mail to Mr. Pudd'nhead Wilson, en write on de back dat"
"305"	"he's to keep it tell I come. You understan'?\""
"306"	"\"Yes.\""
"307"	"\"Dat's all den. Take yo' umbreller, en put on yo' hat.\""
"308"	"\"Why?\""
"309"	"\"Beca'se you's gwine to see me home to de wharf. You see dis knife? I's"
"310"	"toted it aroun' sence de day I seed dat man en bought dese clo'es en it."
"311"	"If he ketch me, I's gwine to kill myself wid it. Now start along, en go"
"312"	"sof', en lead de way; en if you gives a sign in dis house, or if anybody"
"313"	"comes up to you in de street, I's gwine to jam it right into you."
"314"	"Chambers, does you b'lieve me when I says dat?\""
"315"	"\"It's no use to bother me with that question. I know your word's good.\""
"316"	"\"Yes, it's diff'rent from yo'n! Shet de light out en move along--here's"
"317"	"de key.\""
"318"	"They were not followed. Tom trembled every time a late straggler brushed"
"319"	"by them on the street, and half expected to feel the cold steel in his"
"320"	"back. Roxy was right at his heels and always in reach. After tramping a"
"321"	"mile they reached a wide vacancy on the deserted wharves, and in this"
"322"	"dark and rainy desert they parted."
"323"	"As Tom trudged home his mind was full of dreary thoughts and wild plans;"
"324"	"but at last he said to himself, wearily--"
"325"	"\"There is but the one way out. I must follow her plan. But with a"
"326"	"variation--I will not ask for the money and ruin myself; I will rob the"
"327"	"old skinflint.\""
"328"	"CHAPTER XIX."
