"x"
"1"	"CHAPTER XI."
"81"	"little laughs, and said--"
"82"	"\"I thought I wouldn't say anything, but if variety is what you are"
"83"	"after, you have wasted a piece of glass. The hand-print of one twin is"
"84"	"the same as the hand-print of the fellow-twin.\""
"85"	"\"Well, it's done now, and I like to have them both, anyway,\" said"
"86"	"Wilson, returning to his place."
"87"	"\"But look here, Dave,\" said Tom, \"you used to tell people's fortunes,"
"88"	"too, when you took their finger-marks. Dave's just an all-round"
"89"	"genius--a genius of the first water, gentlemen; a great scientist"
"90"	"running to seed here in this village, a prophet with the kind of honor"
"91"	"that prophets generally get at home--for here they don't give shucks for"
"92"	"his scientifics, and they call his skull a notion-factory--hey, Dave,"
"93"	"ain't it so? But never mind; he'll make his mark some day--finger-mark,"
"94"	"you know, he-he! But really, you want to let him take a shy at your"
"95"	"palms once; it's worth twice the price of admission or your money's"
"96"	"returned at the door. Why, he'll read your wrinkles as easy as a book,"
"97"	"and not only tell you fifty or sixty things that's going to happen to"
"98"	"you, but fifty or sixty thousand that ain't. Come, Dave, show the"
"99"	"gentlemen what an inspired Jack-at-all-science we've got in this town,"
"100"	"and don't know it.\""
"101"	"Wilson winced under this nagging and not very courteous chaff, and the"
"102"	"twins suffered with him and for him. They rightly judged, now, that the"
"103"	"best way to relieve him would be to take the thing in earnest and treat"
"104"	"it with respect, ignoring Tom's rather overdone raillery; so Luigi"
"105"	"said--"
"106"	"\"We have seen something of palmistry in our wanderings, and know very"
"107"	"well what astonishing things it can do. If it isn't a science, and one"
"108"	"of the greatest of them, too, I don't know what its other name ought to"
"109"	"be. In the Orient--\""
"110"	"Tom looked surprised and incredulous. He said--"
"111"	"\"That juggling a science? But really, you ain't serious, are you?\""
"112"	"\"Yes, entirely so. Four years ago we had our hands read out to us as if"
"113"	"our palms had been covered with print.\""
"114"	"\"Well, do you mean to say there was actually anything in it?\" asked Tom,"
"115"	"his incredulity beginning to weaken a little."
"116"	"\"There was this much in it,\" said Angelo: \"what was told us of our"
"117"	"characters was minutely exact--we could not have bettered it ourselves."
"118"	"Next, two or three memorable things that had happened to us were laid"
"119"	"bare--things which no one present but ourselves could have known about.\""
"120"	"\"Why, it's rank sorcery!\" exclaimed Tom, who was now becoming very much"
"121"	"interested. \"And how did they make out with what was going to happen to"
"122"	"you in the future?\""
"123"	"\"On the whole, quite fairly,\" said Luigi. \"Two or three of the most"
"124"	"striking things foretold have happened since; much the most striking one"
"125"	"of all happened within that same year. Some of the minor prophecies have"
"126"	"come true; some of the minor and some of the major ones have not been"
"127"	"fulfilled yet, and of course may never be: still, I should be more"
"128"	"surprised if they failed to arrive than if they didn't.\""
"129"	"Tom was entirely sobered, and profoundly impressed. He said,"
"130"	"apologetically--"
"131"	"\"Dave, I wasn't meaning to belittle that science; I was only"
"132"	"chaffing--chattering, I reckon I'd better say. I wish you would look at"
"133"	"their palms. Come, won't you?\""
"134"	"\"Why certainly, if you want me to; but you know I've had no chance to"
"135"	"become an expert, and don't claim to be one. When a past event is"
"136"	"somewhat prominently recorded in the palm I can generally detect that,"
"137"	"but minor ones often escape me,--not always, of course, but often,--but"
"138"	"I haven't much confidence in myself when it comes to reading the future."
"139"	"I am talking as if palmistry was a daily study with me, but that is not"
"140"	"so. I haven't examined half a dozen hands in the last half dozen years;"
"141"	"you see, the people got to joking about it, and I stopped to let the"
"142"	"talk die down. I'll tell you what we'll do, Count Luigi: I'll make a try"
"143"	"at your past, and if I have any success there--no, on the whole, I'll"
"144"	"let the future alone; that's really the affair of an expert.\""
"145"	"He took Luigi's hand. Tom said--"
"146"	"\"Wait--don't look yet, Dave! Count Luigi, here's paper and pencil. Set"
"147"	"down that thing that you said was the most striking one that was"
"148"	"foretold to you, and happened less than a year afterward, and give it to"
"149"	"me so I can see if Dave finds it in your hand.\""
"150"	"Luigi wrote a line privately, and folded up the piece of paper, and"
"151"	"handed it to Tom, saying--"
"152"	"\"I'll tell you when to look at it, if he finds it.\""
"153"	"Wilson began to study Luigi's palm, tracing life lines, heart lines,"
"154"	"head lines, and so on, and noting carefully their relations with the"
"155"	"cobweb of finer and more delicate marks and lines that enmeshed them on"
"156"	"all sides; he felt of the fleshy cushion at the base of the thumb, and"
"157"	"noted its shape; he felt of the fleshy side of the hand between the"
"158"	"wrist and the base of the little finger, and noted its shape also; he"
"159"	"painstakingly examined the fingers, observing their form, proportions,"
"160"	"and natural manner of disposing themselves when in repose. All this"
"161"	"process was watched by the three spectators with absorbing interest,"
"162"	"their heads bent together over Luigi's palm, and nobody disturbing the"
"163"	"stillness with a word. Wilson now entered upon a close survey of the"
"164"	"palm again, and his revelations began."
"165"	"He mapped out Luigi's character and disposition, his tastes, aversions,"
"166"	"proclivities, ambitions, and eccentricities in a way which sometimes"
"167"	"made Luigi wince and the others laugh, but both twins declared that the"
"168"	"chart was artistically drawn and was correct."
"169"	"Next, Wilson took up Luigi's history. He proceeded cautiously and with"
"170"	"hesitation, now, moving his finger slowly along the great lines of the"
"171"	"palm, and now and then halting it at a \"star\" or some such landmark, and"
"172"	"examining that neighborhood minutely. He proclaimed one or two past"
"173"	"events, Luigi confirmed his correctness, and the search went on."
"174"	"Presently Wilson glanced up suddenly with a surprised expression--"
"175"	"\"Here is a record of an incident which you would perhaps not wish me"
"176"	"to--\""
"177"	"\"Bring it out,\" said Luigi, good-naturedly; \"I promise you it sha'n't"
"178"	"embarrass me.\""
"179"	"But Wilson still hesitated, and did not seem quite to know what to do."
"180"	"Then he said--"
"181"	"\"I think it is too delicate a matter to--to--I believe I would rather"
"182"	"write it or whisper it to you, and let you decide for yourself whether"
"183"	"you want it talked out or not.\""
"184"	"\"That will answer,\" said Luigi; \"write it.\""
"185"	"Wilson wrote something on a slip of paper and handed it to Luigi, who"
"186"	"read it to himself and said to Tom--"
"187"	"\"Unfold your slip and read it, Mr. Driscoll.\""
"188"	"Tom read:"
"189"	"\"It was prophesied that I would kill a man. It came true before the year"
"190"	"was out.\""
"191"	"Tom added, \"Great Scott!\""
"192"	"Luigi handed Wilson's paper to Tom, and said--"
"193"	"\"Now read this one.\""
"194"	"Tom read:"
"195"	"\"You have killed some one, but whether man, woman or child, I do not"
"196"	"make out.\""
"197"	"\"Cæsar's ghost!\" commented Tom, with astonishment. \"It beats anything"
"198"	"that was ever heard of! Why, a man's own hand is his deadliest enemy!"
"199"	"Just think of that--a man's own hand keeps a record of the deepest and"
"200"	"fatalest secrets of his life, and is treacherously ready to expose him"
"201"	"to any black-magic stranger that comes along. But what do you let a"
"202"	"person look at your hand for, with that awful thing printed on it?\""
"203"	"\"Oh,\" said Luigi, reposefully, \"I don't mind it. I killed the man for"
"204"	"good reasons, and I don't regret it.\""
"205"	"\"What were the reasons?\""
"206"	"\"Well, he needed killing.\""
"207"	"\"I'll tell you why he did it, since he won't say himself,\" said Angelo,"
"208"	"warmly. \"He did it to save my life, that's what he did it for. So it was"
"209"	"a noble act, and not a thing to be hid in the dark.\""
"210"	"\"So it was, so it was,\" said Wilson; \"to do such a thing to save a"
"211"	"brother's life is a great and fine action.\""
"212"	"\"Now come,\" said Luigi, \"it is very pleasant to hear you say these"
"213"	"things, but for unselfishness, or heroism, or magnanimity, the"
"214"	"circumstances won't stand scrutiny. You overlook one detail; suppose I"
"215"	"hadn't saved Angelo's life, what would have become of mine? If I had let"
"216"	"the man kill him, wouldn't he have killed me, too? I saved my own life,"
"217"	"you see.\""
"218"	"\"Yes, that is your way of talking,\" said Angelo, \"but I know you--I"
"219"	"don't believe you thought of yourself at all. I keep that weapon yet"
"220"	"that Luigi killed the man with, and I'll show it to you sometime. That"
"221"	"incident makes it interesting, and it had a history before it came into"
"222"	"Luigi's hands which adds to its interest. It was given to Luigi by a"
"223"	"great Indian prince, the Gaikowar of Baroda, and it had been in his"
"224"	"family two or three centuries. It killed a good many disagreeable people"
"225"	"who troubled that hearthstone at one time and another. It isn't much too"
"226"	"look at, except that it isn't shaped like other knives, or dirks, or"
"227"	"whatever it may be called--here, I'll draw it for you.\" He took a sheet"
"228"	"of paper and made a rapid sketch. \"There it is--a broad and murderous"
"229"	"blade, with edges like a razor for sharpness. The devices engraved on it"
"230"	"are the ciphers or names of its long line of possessors--I had Luigi's"
"231"	"name added in Roman letters myself with our coat of arms, as you see."
"232"	"You notice what a curious handle the thing has. It is solid ivory,"
"233"	"polished like a mirror, and is four or five inches long--round, and as"
"234"	"thick as a large man's wrist, with the end squared off flat, for your"
"235"	"thumb to rest on; for you grasp it, with your thumb resting on the blunt"
"236"	"end--so--and lift it aloft and strike downward. The Gaikowar showed us"
"237"	"how the thing was done when he gave it to Luigi, and before that night"
"238"	"was ended Luigi had used the knife, and the Gaikowar was a man short by"
"239"	"reason of it. The sheath is magnificently ornamented with gems of great"
"240"	"value. You will find the sheath more worth looking at than the knife"
"241"	"itself, of course.\""
"242"	"Tom said to himself--"
"243"	"\"It's lucky I came here. I would have sold that knife for a song; I"
"244"	"supposed the jewels were glass.\""
"245"	"\"But go on; don't stop,\" said Wilson. \"Our curiosity is up now, to hear"
"246"	"about the homicide. Tell us about that.\""
"247"	"\"Well, briefly, the knife was to blame for that, all around. A native"
"248"	"servant slipped into our room in the palace in the night, to kill us and"
"249"	"steal the knife on account of the fortune incrusted on its sheath,"
"250"	"without a doubt. Luigi had it under his pillow; we were in bed together."
"251"	"There was a dim night-light burning. I was asleep, but Luigi was awake,"
"252"	"and he thought he detected a vague form nearing the bed. He slipped the"
"253"	"knife out of the sheath and was ready, and unembarrassed by hampering"
"254"	"bed-clothes, for the weather was hot and we hadn't any. Suddenly that"
"255"	"native rose at the bedside, and bent over me with his right hand lifted"
"256"	"and a dirk in it aimed at my throat; but Luigi grabbed his wrist, pulled"
"257"	"him downward, and drove his own knife into the man's neck. That is the"
"258"	"whole story.\""
"259"	"Wilson and Tom drew deep breaths, and after some general chat about the"
"260"	"tragedy, Pudd'nhead said, taking Tom's hand--"
"261"	"\"Now, Tom, I've never had a look at your palms, as it happens; perhaps"
"262"	"you've got some little questionable privacies that need--hel-lo!\""
"263"	"Tom had snatched away his hand, and was looking a good deal confused."
"264"	"\"Why, he's blushing!\" said Luigi."
"265"	"Tom darted an ugly look at him, and said sharply--"
"266"	"\"Well, if I am, it ain't because I'm a murderer!\" Luigi's dark face"
"267"	"flushed, but before he could speak or move, Tom added with anxious"
"268"	"haste: \"Oh, I beg a thousand pardons. I didn't mean that; it was out"
"269"	"before I thought, and I'm very, very sorry--you must forgive me!\""
"270"	"Wilson came to the rescue, and smoothed things down as well as he could;"
"271"	"and in fact was entirely successful as far as the twins were concerned,"
"272"	"for they felt sorrier for the affront put upon him by his guest's"
"273"	"outburst of ill manners than for the insult offered to Luigi. But the"
"274"	"success was not so pronounced with the offender. Tom tried to seem at"
"275"	"his ease, and he went through the motions fairly well, but at bottom he"
"276"	"felt resentful toward all the three witnesses of his exhibition; in"
"277"	"fact, he felt so annoyed at them for having witnessed it and noticed it"
"278"	"that he almost forgot to feel annoyed at himself for placing it before"
"279"	"them. However, something presently happened which made him almost"
"280"	"comfortable, and brought him nearly back to a state of charity and"
"281"	"friendliness. This was a little spat between the twins; not much of a"
"282"	"spat, but still a spat; and before they got far with it they were in a"
"283"	"decided condition of irritation with each other. Tom was charmed; so"
"284"	"pleased, indeed, that he cautiously did what he could to increase the"
"285"	"irritation while pretending to be actuated by more respectable motives."
"286"	"By his help the fire got warmed up to the blazing-point, and he might"
"287"	"have had the happiness of seeing the flames show up, in another moment,"
"288"	"but for the interruption of a knock on the door--an interruption which"
"289"	"fretted him as much as it gratified Wilson. Wilson opened the door."
"290"	"The visitor was a good-natured, ignorant, energetic, middle-aged"
"291"	"Irishman named John Buckstone, who was a great politician in a small"
"292"	"way, and always took a large share in public matters of every sort. One"
"293"	"of the town's chief excitements, just now, was over the matter of rum."
"294"	"There was a strong rum party and a strong anti-rum party. Buckstone was"
"295"	"training with the rum party, and he had been sent to hunt up the twins"
"296"	"and invite them to attend a mass-meeting of that faction. He delivered"
"297"	"his errand, and said the clans were already gathering in the big hall"
"298"	"over the market-house. Luigi accepted the invitation cordially, Angelo"
"299"	"less cordially, since he disliked crowds, and did not drink the powerful"
"300"	"intoxicants of America. In fact, he was even a teetotaler"
"301"	"sometimes--when it was judicious to be one."
"302"	"The twins left with Buckstone, and Tom Driscoll joined company with them"
"303"	"uninvited."
"304"	"In the distance one could see a long wavering line of torches drifting"
"305"	"down the main street, and could hear the throbbing of the bass drum, the"
"306"	"clash of cymbals, the squeaking of a fife or two, and the faint roar of"
"307"	"remote hurrahs. The tail-end of this procession was climbing the"
"308"	"market-house stairs when the twins arrived in its neighborhood; when"
"309"	"they reached the hall it was full of people, torches, smoke, noise and"
"310"	"enthusiasm. They were conducted to the platform by Buckstone--Tom"
"311"	"Driscoll still following--and were delivered to the chairman in the"
"312"	"midst of a prodigious explosion of welcome. When the noise had moderated"
"313"	"a little, the chair proposed that \"our illustrious guests be at once"
"314"	"elected, by complimentary acclamation, to membership in our"
"315"	"ever-glorious organization, the paradise of the free and the perdition"
"316"	"of the slave.\""
"317"	"This eloquent discharge opened the flood-gates of enthusiasm again, and"
"318"	"the election was carried with thundering unanimity. Then arose a storm"
"319"	"of cries:"
"320"	"\"Wet them down! Wet them down! Give them a drink!\""
"321"	"Glasses of whisky were handed to the twins. Luigi waved his aloft, then"
"322"	"brought it to his lips; but Angelo set his down. There was another storm"
"323"	"of cries:"
"324"	"\"What's the matter with the other one?\" \"What is the blond one going"
"325"	"back on us for?\" \"Explain! Explain!\""
"326"	"The chairman inquired, and then reported--"
"327"	"\"We have made an unfortunate mistake, gentlemen. I find that the Count"
"328"	"Angelo Capello is opposed to our creed--is a teetotaler, in fact, and"
"329"	"was not intending to apply for membership with us. He desires that we"
"330"	"reconsider the vote by which he was elected. What is the pleasure of the"
"331"	"house?\""
"332"	"There was a general burst of laughter, plentifully accented with"
"333"	"whistlings and cat-calls, but the energetic use of the gavel presently"
"334"	"restored something like order. Then a man spoke from the crowd, and said"
"335"	"that while he was very sorry that the mistake had been made, it would"
"336"	"not be possible to rectify it at the present meeting. According to the"
"337"	"by-laws it must go over to the next regular meeting for action. He would"
"338"	"not offer a motion, as none was required. He desired to apologize to the"
"339"	"gentleman in the name of the house, and begged to assure him that as far"
"340"	"as it might lie in the power of the Sons of Liberty, his temporary"
"341"	"membership in the order would be made pleasant to him."
"342"	"This speech was received with great applause, mixed with cries of--"
"343"	"\"That's the talk!\" \"He's a good fellow, anyway, if he is a teetotaler!\""
"344"	"\"Drink his health!\" \"Give him a rouser, and no heeltaps!\""
"345"	"Glasses were handed around, and everybody on the platform drank Angelo's"
"346"	"health, while the house bellowed forth in song:"
"347"	"   For he's a jolly good fel-low,"
"348"	"   For he's a jolly good fel-low,"
"349"	"   For he's a jolly good fe-el-low,--"
"350"	"      Which nobody can deny."
"351"	"Tom Driscoll drank. It was his second glass, for he had drunk Angelo's"
"352"	"the moment that Angelo had set it down. The two drinks made him very"
"353"	"merry--almost idiotically so--and he began to take a most lively and"
"354"	"prominent part in the proceedings, particularly in the music and"
"355"	"cat-calls and side-remarks."
"356"	"The chairman was still standing at the front, the twins at his side. The"
"357"	"extraordinarily close resemblance of the brothers to each other"
"358"	"suggested a witticism to Tom Driscoll, and just as the chairman began a"
"359"	"speech he skipped forward and said with an air of tipsy confidence to"
"360"	"the audience--"
"361"	"\"Boys, I move that he keeps still and lets this human philopena snip you"
"362"	"out a speech.\""
"363"	"The descriptive aptness of the phrase caught the house, and a mighty"
"364"	"burst of laughter followed."
"365"	"Luigi's southern blood leaped to the boiling-point in a moment under the"
"366"	"sharp humiliation of this insult delivered in the presence of four"
"367"	"hundred strangers. It was not in the young man's nature to let the"
"368"	"matter pass, or to delay the squaring of the account. He took a couple"
"369"	"of strides and halted behind the unsuspecting joker. Then he drew back"
"370"	"and delivered a kick of such titanic vigor that it lifted Tom clear over"
"371"	"the footlights and landed him on the heads of the front row of the Sons"
"372"	"of Liberty."
"373"	"Even a sober person does not like to have a human being emptied on him"
"374"	"when he is not doing any harm; a person who is not sober cannot endure"
"375"	"such an attention at all. The nest of Sons of Liberty that Driscoll"
"376"	"landed in had not a sober bird in it; in fact there was probably not an"
"377"	"entirely sober one in the auditorium. Driscoll was promptly and"
"378"	"indignantly flung on to the heads of Sons in the next row, and these"
"379"	"Sons passed him on toward the rear, and then immediately began to pummel"
"380"	"the front-row Sons who had passed him to them. This course was strictly"
"381"	"followed by bench after bench as Driscoll traveled in his tumultuous and"
"382"	"airy flight toward the door; so he left behind him an ever lengthening"
"383"	"wake of raging and plunging and fighting and swearing humanity. Down"
"384"	"went group after group of torches, and presently above the deafening"
"385"	"clatter of the gavel, roar of angry voices, and crash of succumbing"
"386"	"benches, rose the paralyzing cry of \"Fire!\""
"387"	"The fighting ceased instantly; the cursing ceased; for one distinctly"
"388"	"defined moment there was a dead hush, a motionless calm, where the"
"389"	"tempest had been; then with one impulse the multitude awoke to life and"
"390"	"energy again, and went surging and struggling and swaying, this way and"
"391"	"that, its outer edges melting away through windows and doors and"
"392"	"gradually lessening the pressure and relieving the mass."
"393"	"The fire-boys were never on hand so suddenly before; for there was no"
"394"	"distance to go, this time, their quarters being in the rear end of the"
"395"	"market-house. There was an engine company and a hook-and-ladder company."
"396"	"Half of each was composed of rummies and the other half of anti-rummies,"
"397"	"after the moral and political share-and-share-alike fashion of the"
"398"	"frontier town of the period. Enough anti-rummies were loafing in"
"399"	"quarters to man the engine and the ladders. In two minutes they had"
"400"	"their red shirts and helmets on--they never stirred officially in"
"401"	"unofficial costume--and as the mass meeting overhead smashed through the"
"402"	"long row of windows and poured out upon the roof of the arcade, the"
"403"	"deliverers were ready for them with a powerful stream of water which"
"404"	"washed some of them off the roof and nearly drowned the rest. But water"
"405"	"was preferable to fire, and still the stampede from the windows"
"406"	"continued, and still the pitiless drenching assailed it until the"
"407"	"building was empty; then the fire-boys mounted to the hall and flooded"
"408"	"it with water enough to annihilate forty times as much fire as there was"
"409"	"there; for a village fire-company does not often get a chance to show"
"410"	"off, and so when it does get a chance it makes the most of it. Such"
"411"	"citizens of that village as were of a thoughtful and judicious"
"412"	"temperament did not insure against fire; they insured against the"
"413"	"fire-company."
"414"	"CHAPTER XII."
