"x"
"1"	"CHAPTER IX."
"69"	"up for as big a fool as you is, you's pow'ful mistaken, I kin tell you!"
"70"	"Now den, you set still en behave yo'self; en don't you git up ag'in till"
"71"	"I tell you!\""
"72"	"Tom fretted and chafed awhile in a whirlwind of disorganizing sensations"
"73"	"and emotions, and finally said, with something like settled conviction--"
"74"	"\"The whole thing is moonshine; now then, go ahead and do your worst; I'm"
"75"	"done with you.\""
"76"	"Roxy made no answer. She took the lantern and started toward the door."
"77"	"Tom was in a cold panic in a moment."
"78"	"\"Come back, come back!\" he wailed. \"I didn't mean it, Roxy; I take it"
"79"	"all back, and I'll never say it again! Please come back, Roxy!\""
"80"	"The woman stood a moment, then she said gravely:"
"81"	"\"Dat's one thing you's got to stop, Valet de Chambers. You can't call me"
"82"	"Roxy, same as if you was my equal. Chillen don't speak to dey mammies"
"83"	"like dat. You'll call me ma or mammy, dat's what you'll call"
"84"	"me--leastways when dey ain't nobody aroun'. Say it!\""
"85"	"It cost Tom a struggle, but he got it out."
"86"	"\"Dat's all right. Don't you ever forgit it ag'in, if you knows what's"
"87"	"good for you. Now den, you has said you wouldn't ever call it lies en"
"88"	"moonshine ag'in. I'll tell you dis, for a warnin': if you ever does say"
"89"	"it ag'in, it's de las' time you'll ever say it to me; I'll tramp as"
"90"	"straight to de Judge as I kin walk, en tell him who you is, en prove it."
"91"	"Does you b'lieve me when I says dat?\""
"92"	"\"Oh,\" groaned Tom, \"I more than believe it; I know it.\""
"93"	"Roxy knew her conquest was complete. She could have proved nothing to"
"94"	"anybody, and her threat about the writings was a lie; but she knew the"
"95"	"person she was dealing with, and had made both statements without any"
"96"	"doubt as to the effect they would produce."
"97"	"She went and sat down on her candle-box, and the pride and pomp of her"
"98"	"victorious attitude made it a throne. She said--"
"99"	"\"Now den, Chambers, we's gwine to talk business, en dey ain't gwine to"
"100"	"be no mo' foolishness. In de fust place, you gits fifty dollahs a month;"
"101"	"you's gwine to han' over half of it to yo' ma. Plank it out!\""
"102"	"But Tom had only six dollars in the world. He gave her that, and"
"103"	"promised to start fair on next month's pension."
"104"	"\"Chambers, how much is you in debt?\""
"105"	"Tom shuddered, and said--"
"106"	"\"Nearly three hundred dollars.\""
"107"	"\"How is you gwine to pay it?\""
"108"	"Tom groaned out--\"Oh, I don't know; don't ask me such awful questions.\""
"109"	"But she stuck to her point until she wearied a confession out of him: he"
"110"	"had been prowling about in disguise, stealing small valuables from"
"111"	"private houses; in fact, he made a good deal of a raid on his"
"112"	"fellow-villagers a fortnight before, when he was supposed to be in St."
"113"	"Louis; but he doubted if he had sent away enough stuff to realize the"
"114"	"required amount, and was afraid to make a further venture in the present"
"115"	"excited state of the town. His mother approved of his conduct, and"
"116"	"offered to help, but this frightened him. He tremblingly ventured to say"
"117"	"that if she would retire from the town he should feel better and safer,"
"118"	"and could hold his head higher--and was going on to make an argument,"
"119"	"but she interrupted and surprised him pleasantly by saying she was"
"120"	"ready; it didn't make any difference to her where she stayed, so that"
"121"	"she got her share of the pension regularly. She said she would not go"
"122"	"far, and would call at the haunted house once a month for her money."
"123"	"Then she said--"
"124"	"\"I don't hate you so much now, but I've hated you a many a year--and"
"125"	"anybody would. Didn't I change you off, en give you a good fambly en a"
"126"	"good name, en made you a white gen'l'man en rich, wid store clothes"
"127"	"on--en what did I git for it? You despised me all de time, en was al'ays"
"128"	"sayin' mean hard things to me befo' folks, en wouldn't ever let me"
"129"	"forgit I's a nigger--en--en------\""
"130"	"She fell to sobbing, and broke down. Tom said--\"But you know I didn't"
"131"	"know you were my mother; and besides--\""
"132"	"\"Well, nemmine 'bout dat, now; let it go. I's gwine to fo'git it.\" Then"
"133"	"she added fiercely, \"En don't ever make me remember it ag'in, or you'll"
"134"	"be sorry, I tell you.\""
"135"	"When they were parting, Tom said, in the most persuasive way he could"
"136"	"command--"
"137"	"\"Ma, would you mind telling me who was my father?\""
"138"	"He had supposed he was asking an embarrassing question. He was mistaken."
"139"	"Roxy drew herself up with a proud toss of her head, and said--"
"140"	"\"Does I mine tellin' you? No, dat I don't! You ain't got no 'casion to"
"141"	"be shame' o' yo' father, I kin tell you. He wuz de highest quality in"
"142"	"dis whole town--ole Virginny stock. Fust famblies, he wuz. Jes as good"
"143"	"stock as de Driscolls en de Howards, de bes' day dey ever seed.\" She put"
"144"	"on a little prouder air, if possible, and added impressively: \"Does you"
"145"	"'member Cunnel Cecil Burleigh Essex, dat died de same year yo' young"
"146"	"Marse Tom Driscoll's pappy died, en all de Masons en Odd Fellers en"
"147"	"Churches turned out en give him de bigges' funeral dis town ever seed?"
"148"	"Dat's de man.\""
"149"	"Under the inspiration of her soaring complacency the departed graces of"
"150"	"her earlier days returned to her, and her bearing took to itself a"
"151"	"dignity and state that might have passed for queenly if her surroundings"
"152"	"had been a little more in keeping with it."
"153"	"\"Dey ain't another nigger in dis town dat's as high-bawn as you is. Now"
"154"	"den, go 'long! En jes you hold yo' head up as high as you want to--you"
"155"	"has de right, en dat I kin swah.\""
"156"	"CHAPTER X."
