"x"
"1"	"CHAPTER XIV."
"82"	"again. It's the sure way, and the only sure way; I might have thought of"
"83"	"that sooner--well, yes, if I had wanted to. But now--dear me, I've had a"
"84"	"scare this time, and I'll take no more chances. Not a single chance"
"85"	"more. Land! I persuaded myself this evening that I could fetch him"
"86"	"around without any great amount of effort, but I've been getting more"
"87"	"and more heavy-hearted and doubtful straight along, ever since. If he"
"88"	"tells me about this thing, all right; but if he doesn't, I sha'n't let"
"89"	"on. I--well, I'd like to tell Pudd'nhead Wilson, but--no, I'll think"
"90"	"about that; perhaps I won't.\" He whirled off another dead huzza, and"
"91"	"said, \"I'm reformed, and this time I'll stay so, sure!\""
"92"	"He was about to close with a final grand silent demonstration, when he"
"93"	"suddenly recollected that Wilson had put it out of his power to pawn or"
"94"	"sell the Indian knife, and that he was once more in awful peril of"
"95"	"exposure by his creditors for that reason. His joy collapsed utterly,"
"96"	"and he turned away and moped toward the door moaning and lamenting over"
"97"	"the bitterness of his luck. He dragged himself up-stairs, and brooded in"
"98"	"his room a long time disconsolate and forlorn, with Luigi's Indian knife"
"99"	"for a text. At last he sighed and said:"
"100"	"\"When I supposed these stones were glass and this ivory bone, the thing"
"101"	"hadn't any interest for me because it hadn't any value, and couldn't"
"102"	"help me out of my trouble. But now--why, now it is full of interest;"
"103"	"yes, and of a sort to break a body's heart. It's a bag of gold that has"
"104"	"turned to dirt and ashes in my hands. It could save me, and save me so"
"105"	"easily, and yet I've got to go to ruin. It's like drowning with a"
"106"	"life-preserver in my reach. All the hard luck comes to me, and all the"
"107"	"good luck goes to other people--Pudd'nhead Wilson, for instance; even"
"108"	"his career has got a sort of a little start at last, and what has he"
"109"	"done to deserve it, I should like to know? Yes, he has opened his own"
"110"	"road, but he isn't content with that, but must block mine. It's a"
"111"	"sordid, selfish world, and I wish I was out of it.\" He allowed the light"
"112"	"of the candle to play upon the jewels of the sheath, but the flashings"
"113"	"and sparklings had no charm for his eye; they were only just so many"
"114"	"pangs to his heart. \"I must not say anything to Roxy about this thing,\""
"115"	"he said, \"she is too daring. She would be for digging these stones out"
"116"	"and selling them, and then--why, she would be arrested and the stones"
"117"	"traced, and then--\" The thought made him quake, and he hid the knife"
"118"	"away, trembling all over and glancing furtively about, like a criminal"
"119"	"who fancies that the accuser is already at hand."
"120"	"Should he try to sleep? Oh, no, sleep was not for him; his trouble was"
"121"	"too haunting, too afflicting for that. He must have somebody to mourn"
"122"	"with. He would carry his despair to Roxy."
"123"	"He had heard several distant gunshots, but that sort of thing was not"
"124"	"uncommon, and they had made no impression upon him. He went out at the"
"125"	"back door, and turned westward. He passed Wilson's house and proceeded"
"126"	"along the lane, and presently saw several figures approaching Wilson's"
"127"	"place through the vacant lots. These were the duelists returning from"
"128"	"the fight; he thought he recognized them, but as he had no desire for"
"129"	"white people's company, he stooped down behind the fence until they were"
"130"	"out of his way."
"131"	"Roxy was feeling fine. She said:"
"132"	"\"Whah was you, child? Warn't you in it?\""
"133"	"\"In what?\""
"134"	"\"In de duel.\""
"135"	"\"Duel? Has there been a duel?\""
"136"	"\"'Co'se dey has. De ole Jedge has be'n havin' a duel wid one o' dem"
"137"	"twins.\""
"138"	"\"Great Scott!\" Then he added to himself: \"That's what made him re-make"
"139"	"the will; he thought he might get killed, and it softened him toward me."
"140"	"And that's what he and Howard were so busy about.... Oh dear, if the"
"141"	"twin had only killed him, I should be out of my--\""
"142"	"\"What is you mumblin' bout, Chambers? Whah was you? Didn't you know dey"
"143"	"was gwyne to be a duel?\""
"144"	"\"No, I didn't. The old man tried to get me to fight one with Count"
"145"	"Luigi, but he didn't succeed, so I reckon he concluded to patch up the"
"146"	"family honor himself.\""
"147"	"He laughed at the idea, and went rambling on with a detailed account of"
"148"	"his talk with the Judge, and how shocked and ashamed the Judge was to"
"149"	"find that he had a coward in his family. He glanced up at last, and got"
"150"	"a shock himself. Roxana's bosom was heaving with suppressed passion, and"
"151"	"she was glowering down upon him with measureless contempt written in her"
"152"	"face."
"153"	"\"En you refuse' to fight a man dat kicked you, 'stid o' jumpin' at de"
"154"	"chance! En you ain't got no mo' feelin' den to come en tell me, dat"
"155"	"fetched sich a po' low-down ornery rabbit into de worl'! Pah! it make me"
"156"	"sick! It's de nigger in you, dat's what it is. Thirty-one parts o' you"
"157"	"is white, en on'y one part nigger, en dat po' little one part is yo'"
"158"	"soul. Tain't wuth savin'; tain't wuth totin' out on a shovel en throwin'"
"159"	"in de gutter. You has disgraced yo' birth. What would yo' pa think o'"
"160"	"you? It's enough to make him turn in his grave.\""
"161"	"The last three sentences stung Tom into a fury, and he said to himself"
"162"	"that if his father were only alive and in reach of assassination his"
"163"	"mother would soon find that he had a very clear notion of the size of"
"164"	"his indebtedness to that man, and was willing to pay it up in full, and"
"165"	"would do it too, even at risk of his life; but he kept this thought to"
"166"	"himself; that was safest in his mother's present state."
"167"	"\"Whatever has come o' yo' Essex blood? Dat's what I can't understan'. En"
"168"	"it ain't on'y jist Essex blood dat's in you, not by a long sight--'deed"
"169"	"it ain't! My great-great-great-gran'father en yo'"
"170"	"great-great-great-great-gran'father was Ole Cap'n John Smith, de highest"
"171"	"blood dat Ole Virginny ever turned out, en his great-great-gran'mother"
"172"	"or somers along back dah, was Pocahontas de Injun queen, en her husbun'"
"173"	"was a nigger king outen Africa--en yit here you is, a slinkin' outen a"
"174"	"duel en disgracin' our whole line like a ornery low-down hound! Yes,"
"175"	"it's de nigger in you!\""
"176"	"She sat down on her candle-box and fell into a reverie. Tom did not"
"177"	"disturb her; he sometimes lacked prudence, but it was not in"
"178"	"circumstances of this kind, Roxana's storm went gradually down, but it"
"179"	"died hard, and even when it seemed to be quite gone, it would now and"
"180"	"then break out in a distant rumble, so to speak, in the form of muttered"
"181"	"ejaculations. One of these was, \"Ain't nigger enough in him to show in"
"182"	"his finger-nails, en dat takes mighty little--yit dey's enough to paint"
"183"	"his soul.\""
"184"	"Presently she muttered. \"Yassir, enough to paint a whole thimbleful of"
"185"	"'em.\" At last her ramblings ceased altogether, and her countenance began"
"186"	"to clear--a welcome sign to Tom, who had learned her moods, and knew she"
"187"	"was on the threshold of good-humor, now. He noticed that from time to"
"188"	"time she unconsciously carried her finger to the end of her nose. He"
"189"	"looked closer and said:"
"190"	"\"Why, mammy, the end of your nose is skinned. How did that come?\""
"191"	"She sent out the sort of whole-hearted peal of laughter which God had"
"192"	"vouchsafed in its perfection to none but the happy angels in heaven and"
"193"	"the bruised and broken black slave on the earth, and said:"
"194"	"\"Dad fetch dat duel, I be'n in it myself.\""
"195"	"\"Gracious! did a bullet do that?\""
"196"	"\"Yassir, you bet it did!\""
"197"	"\"Well, I declare! Why, how did that happen?\""
"198"	"\"Happened dis-away. I 'uz a-sett'n' here kinder dozin' in de dark, en"
"199"	"che-bang! goes a gun, right out dah. I skips along out towards t'other"
"200"	"end o' de house to see what's gwyne on, en stops by de ole winder on de"
"201"	"side towards Pudd'nhead Wilson's house dat ain't got no sash in it,--but"
"202"	"dey ain't none of 'em got any sashes, fur as dat's concerned,--en I"
"203"	"stood dah in de dark en look out, en dar in de moonlight, right down"
"204"	"under me 'uz one o' de twins a-cussin'--not much, but jist a-cussin'"
"205"	"soft--it 'uz de brown one dat 'uz cussin', 'ca'se he 'uz hit in de"
"206"	"shoulder. En Doctor Claypool he 'uz a-workin' at him, en Pudd'nhead"
"207"	"Wilson he 'uz a-he'pin', en ole Jedge Driscoll en Pem Howard 'uz"
"208"	"a-standin' out yonder a little piece waitin' for 'em to git ready agin."
"209"	"En treckly dey squared off en give de word, en bang-bang went de"
"210"	"pistols, en de twin he say, 'Ouch!'--hit him on de han' dis time,--en I"
"211"	"hear dat same bullet go spat! ag'in, de logs under de winder; en de nex'"
"212"	"time dey shoot, de twin say, 'Ouch!' ag'in, en I done it too, 'ca'se de"
"213"	"bullet glance' on his cheek-bone en skip up here en glance on de side o'"
"214"	"de winder en whiz right acrost my face en tuck de hide off'n my"
"215"	"nose--why, if I'd 'a' be'n jist a inch or a inch en a half furder 't"
"216"	"would 'a' tuck de whole nose en disfiggered me. Here's de bullet; I"
"217"	"hunted her up.\""
"218"	"\"Did you stand there all the time?\""
"219"	"\"Dat's a question to ask, ain't it? What else would I do? Does I git a"
"220"	"chance to see a duel every day?\""
"221"	"\"Why, you were right in range! Weren't you afraid?\""
"222"	"The woman gave a sniff of scorn."
"223"	"\"'Fraid! De Smith-Pocahontases ain't 'fraid o' nothin', let alone"
"224"	"bullets.\""
"225"	"\"They've got pluck enough, I suppose; what they lack is judgment. I"
"226"	"wouldn't have stood there.\""
"227"	"\"Nobody's accusin' you!\""
"228"	"\"Did anybody else get hurt?\""
"229"	"\"Yes, we all got hit 'cep' de blon' twin en de doctor en de seconds. De"
"230"	"Jedge didn't git hurt, but I hear Pudd'nhead say de bullet snip some o'"
"231"	"his ha'r off.\""
"232"	"\"'George!\" said Tom to himself, \"to come so near being out of my"
"233"	"trouble, and miss it by an inch. Oh dear, dear, he will live to find me"
"234"	"out and sell me to some nigger-trader yet--yes, and he would do it in a"
"235"	"minute.\" Then he said aloud, in a grave tone--"
"236"	"\"Mother, we are in an awful fix.\""
"237"	"Roxana caught her breath with a spasm, and said--"
"238"	"\"Chile! What you hit a body so sudden for, like dat? What's be'n en gone"
"239"	"en happen'?\""
"240"	"\"Well, there's one thing I didn't tell you. When I wouldn't fight, he"
"241"	"tore up the will again, and--\""
"242"	"Roxana's face turned a dead white, and she said--"
"243"	"\"Now you's done!--done forever! Dat's de end. Bofe un us is gwyne to"
"244"	"starve to--\""
"245"	"\"Wait and hear me through, can't you! I reckon that when he resolved to"
"246"	"fight, himself, he thought he might get killed and not have a chance to"
"247"	"forgive me any more in this life, so he made the will again, and I've"
"248"	"seen it, and it's all right. But--\""
"249"	"\"Oh, thank goodness, den we's safe ag'in!--safe! en so what did you want"
"250"	"to come here en talk sich dreadful--\""
"251"	"\"Hold on, I tell you, and let me finish. The swag I gathered won't half"
"252"	"square me up, and the first thing we know, my creditors--well, you know"
"253"	"what'll happen.\""
"254"	"Roxana dropped her chin, and told her son to leave her alone--she must"
"255"	"think this matter out. Presently she said impressively:"
"256"	"\"You got to go mighty keerful now, I tell you! En here's what you got to"
"257"	"do. He didn't git killed, en if you gives him de least reason, he'll"
"258"	"bust de will ag'in, en dat's de las' time, now you hear me! So--you's"
"259"	"got to show him what you kin do in de nex' few days. You's got to be"
"260"	"pison good, en let him see it; you got to do everything dat'll make him"
"261"	"b'lieve in you, en you got to sweeten aroun' ole Aunt Pratt, too,--she's"
"262"	"pow'ful strong wid de Jedge, en de bes' frien' you got. Nex', you'll go"
"263"	"'long away to Sent Louis, en dat'll keep him in yo' favor. Den you go en"
"264"	"make a bargain wid dem people. You tell 'em he ain't gwyne to live"
"265"	"long--en dat's de fac', too,--en tell 'em you'll pay 'em intrust, en big"
"266"	"intrust, too,--ten per--what you call it?\""
"267"	"\"Ten per cent. a month?\""
"268"	"\"Dat's it. Den you take and sell yo' truck aroun', a little at a time,"
"269"	"en pay de intrust. How long will it las'?\""
"270"	"\"I think there's enough to pay the interest five or six months.\""
"271"	"\"Den you's all right. If he don't die in six months, dat don't make no"
"272"	"diff'rence--Providence'll provide. You's gwyne to be safe--if you"
"273"	"behaves.\" She bent an austere eye on him and added, \"En you is gwyne to"
"274"	"behave--does you know dat?\""
"275"	"He laughed and said he was going to try, anyway. She did not unbend. She"
"276"	"said gravely:"
"277"	"\"Tryin' ain't de thing. You's gwyne to do it. You ain't gwyne to steal a"
"278"	"pin--'ca'se it ain't safe no mo'; en you ain't gwyne into no bad"
"279"	"comp'ny--not even once, you understand; en you ain't gwyne to drink a"
"280"	"drop--nary single drop; en you ain't gwyne to gamble one single"
"281"	"gamble--not one! Dis ain't what you's gwyne to try to do, it's what"
"282"	"you's gwyne to do. En I'll tell you how I knows it. Dis is how. I's"
"283"	"gwyne to foller along to Sent Louis my own self; en you's gwyne to come"
"284"	"to me every day o' yo' life, en I'll look you over; en if you fails in"
"285"	"one single one o' dem things--jist one--I take my oath I'll come"
"286"	"straight down to dis town en tell de Jedge you's a nigger en a slave--en"
"287"	"prove it!\" She paused to let her words sink home. Then she added,"
"288"	"\"Chambers, does you b'lieve me when I says dat?\""
"289"	"Tom was sober enough now. There was no levity in his voice when he"
"290"	"answered:"
"291"	"\"Yes, mother, I know, now, that I am reformed--and permanently."
"292"	"Permanently--and beyond the reach of any human temptation.\""
"293"	"\"Den g' long home en begin!\""
"294"	"CHAPTER XV."
